line_cd,company_cd,line_name,line_name_rn,line_type
1001,3,中央新幹線,Chuo Shinkansen,1
1002,3,東海道新幹線,Tokaido Shinkansen,1
1003,4,山陽新幹線,Sanyo Shinkansen,1
1004,2,東北新幹線,Tohoku Shinkansen,1
1005,2,上越新幹線,Joetsu Shinkansen,1
1006,2,上越新幹線(ガーラ湯沢支線),Joetsu Shinkansen,1
1007,2,山形新幹線,Yamagata Shinkansen,1
1008,2,秋田新幹線,Akita Shinkansen,1
1009,2,北陸新幹線,Hokuriku Shinkansen,1
1010,6,九州新幹線,Kyushu Shinkansen,1
1011,1,北海道新幹線,Hokkaido Shinkansen,1
1012,6,西九州新幹線,Nishi-Kyushu Shinkansen,1
11101,1,函館本線,Hakodate Main Line,2
11102,1,函館本線,Hakodate Main Line,2
11103,1,函館本線,Hakodate Main Line,2
11104,1,室蘭本線,Muroran Main Line,2
11105,1,室蘭本線,Muroran Main Line,2
11106,1,根室本線,Nemuro Main Line,2
11107,1,根室本線,Nemuro Main Line,2
11108,1,花咲線,Hanasaki Line,2
11109,1,千歳線,Chitose Line,2
11110,1,石勝線,Sekisho Main Line,2
11111,1,日高本線,Hidaka Main Line,2
11112,1,札沼線,Sassho Line,2
11113,1,留萌本線,Rumoi Main Line,2
11114,1,富良野線,Furano Line,2
11115,1,宗谷本線,Soya Main Line,2
11116,1,石北本線,Sekihoku Main Line,2
11117,1,釧網本線,Senmo Main Line,2
11118,1,海峡線,Kaikyo Line,2
11119,1,江差線,Esashi Line,2
11201,2,東北本線,Tohoku Main Line,2
11202,2,奥羽本線,Ou Main Line,2
11231,2,東北本線,Tohoku Main Line,2
11203,2,はまなすベイライン大湊線,Ominato Line,2
11204,2,五能線,Gono Line,2
11205,2,津軽線,Tsugaru Line,2
11206,2,八戸線,Hachinohe Line,2
11207,2,岩泉線,Iwaizumi Line,2
11208,2,ドラゴンレール大船渡線,Ofunato Line,2
11209,2,銀河ドリームライン釜石線,Kamaishi Line,2
11210,2,北上線,Kitakami Line,2
11211,2,田沢湖線,Tazawako Line,2
11212,2,十和田八幡平四季彩ライン,Hanawa Line,2
11213,2,山田線,Yamada Line,2
11214,2,羽越本線,Uetsu Main Line,2
11215,2,男鹿線,Oga Line,2
11216,2,山形線,Ou Main Line,2
11217,2,仙山線,Senzan Line,2
11218,2,フルーツライン左沢線,Aterazawa Line,2
11219,2,米坂線,Yonesaka Line,2
11220,2,奥の細道最上川ライン,Riku-West Line,2
11221,2,奥の細道湯けむりライン,Riku-East Line,2
11222,2,仙石線,Senseki Line,2
11223,2,石巻線,Ishinomaki Line,2
11224,2,気仙沼線,Kesennuma Line,2
11225,2,磐越西線,Ban-etsu-West Line,2
11226,2,森と水とロマンの鉄道,Ban-etsu-West Line,2
11227,2,只見線,Tadami Line,2
11228,2,ゆうゆうあぶくまライン,Ban-etsu-East Line,2
11229,2,常磐線,Joban Line,2
11230,2,常磐線,Joban Line,2
11301,2,東海道線,Tokaido Line,2
11302,2,山手線,Yamanote Line,2
11303,2,南武線,Nambu Line,2
11304,2,鶴見線,Tsurumi Line,2
11305,2,武蔵野線,Musashino Line,2
11306,2,横浜線,Yokohama Line,2
11307,2,根岸線,Negishi Line,2
11308,2,横須賀線,Yokosuka Line,2
11309,2,相模線,Sagami Line,2
11311,2,中央本線,Chuo Line,2
11312,2,中央線(快速),Chuo Line,2
11313,2,中央・総武線,Chuo-Sobu Line,2
11314,2,総武本線,Sobu Main Line,2
11315,2,青梅線,Ome Line,2
11316,2,五日市線,Itsukaichi Line,2
11317,2,八高線,Hachiko Line,2
11318,2,八高線,Hachiko Line,2
11319,2,宇都宮線,Utsunomiya Line,2
11320,2,常磐快速線,Joban Rapid Line,2
11321,2,埼京線,Saikyo Line,2
11322,2,川越線,Kawagoe Line,2
11323,2,高崎線,Takasaki Line,2
11324,2,外房線,Sotobo Line,2
11325,2,内房線,Uchibo Line,2
11326,2,京葉線,Keiyo Line,2
11327,2,成田線,Narita Line,2
11328,2,成田エクスプレス,Narita Express,2
11329,2,鹿島線,Kashima Line,2
11330,2,久留里線,Kururi Line,2
11331,2,東金線,Togane Line,2
11332,2,京浜東北線,Keihin-Tohoku Line,2
11333,2,湘南新宿ライン,Shonan-Shinjuku Line,2
11343,2,上野東京ライン,Ueno-Tokyo Line,2
11334,2,烏山線,Karasuyama Line,2
11335,2,吾妻線,Agatsuma Line,2
11337,2,信越本線,Shin’etsu Main Line,2
11338,2,水郡線,Suigun Line,2
11339,2,水戸線,Mito Line,2
11340,2,日光線,Nikko Line,2
11341,2,両毛線,Ryomo Line,2
11342,2,上越線,Joetsu Line,2
11344,2,常磐線,Joban Line,2
11345,100,ディズニーリゾートライン,Disney Resort Line,5
11401,2,小海線,Koumi Line,2
11402,3,身延線,Minobu Line,2
11403,2,信越本線,Shin’etsu Main Line,2
11404,2,信越本線,Shin’etsu Main Line,2
11405,4,北陸本線,Hokuriku Main Line,2
11406,2,白新線,Hakushin Line,2
11407,2,飯山線,Iiyama Line,2
11408,2,越後線,Echigo Line,2
11409,2,北アルプス線,Oito Line,2
11410,2,弥彦線,Yahiko Line,2
11411,3,中央本線,Chuo Line,2
11412,2,篠ノ井線,Shinonoi Line,2
11413,3,飯田線,Iida Line,2
11414,3,飯田線,Iida Line,2
11415,4,北陸本線,Hokuriku Main Line,2
11416,3,高山本線,Takayama Line,2
11417,4,城端線,Johana Line,2
11418,4,氷見線,Himi Line,2
11419,4,七尾線,Nanao Line,2
11420,4,敦賀港線,Tsurugaminato Line,2
11421,4,九頭竜線,Kuzuryu Line,2
11422,4,小浜線,Obama Line,2
11501,3,東海道本線,Tokaido Line,2
11502,3,東海道本線,Tokaido Line,2
11503,3,東海道本線,Tokaido Line,2
11504,2,伊東線,Ito Line,2
11505,3,御殿場線,Gotemba Line,2
11506,3,武豊線,Taketoyo Line,2
11507,3,太多線,Taita Line,2
11508,3,関西本線,Kansai Line,2
11509,4,関西本線,Kansai Main Line,2
11510,3,紀勢本線,Kisei Line,2
11511,4,草津線,Kusatsu Line,2
11512,3,参宮線,Sangu Line,2
11513,3,名松線,Meisho Line,2
11601,4,琵琶湖線,Biwako Line,2
11602,4,JR京都線,Kyoto Line,2
11603,4,JR神戸線,Kobe Line,2
11605,4,湖西線,Kosei Line,2
11607,4,大和路線,Yamatoji Line,2
11608,4,JR神戸線,Kobe Line,2
11609,4,山陽本線,San’yo Main Line,2
11610,4,山陽本線,San’yo Main Line,2
11611,4,山陽本線,San’yo Main Line,2
11612,4,山陽本線,San'yo Main Line,2
11613,4,山陽本線,San’yo Main Line,2
11614,4,嵯峨野線,Sagano Line,2
11615,4,山陰本線,San'in Main Line,2
11616,4,山陰本線,San’in Main Line,2
11617,4,学研都市線,Gakkentoshi Line,2
11618,4,奈良線,Nara Line,2
11622,4,舞鶴線,Maizuru Line,2
