station_cd,station_g_cd,station_name,station_name_rn,line_cd,lon,lat
100201,1130101,東京,TOKYO,1002,139.766084,35.681382
100202,1130103,品川,SHINAGAWA,1002,139.74044,35.630152
100203,1130604,新横浜,SHIN-YOKOHAMA,1002,139.617585,35.507456
100204,1130116,小田原,ODAWARA,1002,139.154904,35.25642
100205,1130121,熱海,ATAMI,1002,139.07776,35.103217
100206,1150103,三島,MISHIMA,1002,138.910627,35.127152
100207,100207,新富士,SHIN-FUJI,1002,138.663382,35.142015
100208,1150118,静岡,SHIZUOKA,1002,138.38884,34.97171
100209,1150128,掛川,KAKEGAWA,1002,138.014928,34.769758
100210,1150201,浜松,HAMAMATSU,1002,137.734442,34.703741
100211,1141301,豊橋,TOYOHASHI,1002,137.381651,34.762811
100212,1150222,三河安城,MIKAWA-ANJO,1002,137.060662,34.96897
100213,1141101,名古屋,NAGOYA,1002,136.881645,35.170686
100214,3002102,岐阜羽島,GIFU-HASHIMA,1002,136.685822,35.316001
100215,1141501,米原,MAIBARA,1002,136.290488,35.314188
100216,1160120,京都,KYOTO,1002,135.757755,34.985458
100217,1160213,新大阪,SHIN-OSAKA,1002,135.500109,34.73348
100301,1160213,新大阪,SHIN-OSAKA,1003,135.500109,34.73348
100302,9963601,新神戸,SHIN-KOBE,1003,135.195758,34.706417
100303,1160811,西明石,NISHI-AKASHI,1003,134.960542,34.666855
100304,1160821,姫路,HIMEJI,1003,134.690849,34.827642
100305,1160905,相生,AIOI,1003,134.473888,34.817955
100306,1160917,岡山,OKAYAMA,1003,133.918588,34.666369
100307,1161007,新倉敷,SHIN-KURASHIKI,1003,133.678671,34.56499
100308,1161014,福山,FUKUYAMA,1003,133.361432,34.489327
100309,100309,新尾道,SHIN-ONOMICHI,1003,133.190158,34.429859
100310,1161020,三原,MIHARA,1003,133.083572,34.399934
100311,100311,東広島,HIGASHIHIROSHIMA,1003,132.759762,34.389035
100312,1161115,広島,HIROSHIMA,1003,132.4758267,34.39823447
100313,100313,新岩国,SHIN-IWAKUNI,1003,132.149384,34.164672
100314,1161216,徳山,TOKUYAMA,1003,131.8029,34.051555
100315,1161224,新山口,SHIN-YAMAGUCHI,1003,131.397155,34.093061
100316,1161230,厚狭,ASA,1003,131.159965,34.053361
100317,1161234,新下関,SHIN-SHIMONOSEKI,1003,130.948243,34.005615
100318,1190205,小倉,KOKURA,1003,130.882466,33.887108
100319,1190101,博多,HAKATA,1003,130.420622,33.590002
100401,1130101,東京,TOKYO,1004,139.766084,35.681382
100402,1130220,上野,UENO,1004,139.777254,35.713768
100403,1131906,大宮,OMIYA,1004,139.624,35.906206
100404,1131918,小山,OYAMA,1004,139.80685,36.3142
100405,1131923,宇都宮,UTSUNOMIYA,1004,139.898283,36.558701
100406,1131932,那須塩原,NASUSHIOBARA,1004,140.020514,36.931772
100407,1123106,新白河,SHIN-SHIRAKAWA,1004,140.188998,37.123281
100408,1123114,郡山,KORIYAMA,1004,140.388412,37.397983
100409,1123124,福島,FUKUSHIMA,1004,140.458724,37.754311
100410,100410,白石蔵王,SHIROISHIZAO,1004,140.633035,37.995485
100411,1123143,仙台,SENDAI,1004,140.882244,38.260286
100412,1122104,古川,FURUKAWA,1004,140.967832,38.57092
100413,100413,くりこま高原,KURIKOMA-KOGEN,1004,141.071785,38.74893
100414,1123166,一ノ関,ICHINOSEKI,1004,141.13889,38.92608
100415,100415,水沢江刺,MIZUSAWAESASHI,1004,141.188803,39.145194
100416,1123174,北上,KITAKAMI,1004,141.122598,39.282229
100417,1120903,新花巻,SHIN-HANAMAKI,1004,141.173715,39.406453
100418,1123185,盛岡,MORIOKA,1004,141.136369,39.701683
100419,9920509,いわて沼宮内,IWATE-NUMAKUNAI,1004,141.217655,39.960853
100420,9920515,二戸,NINOHE,1004,141.285655,40.259881
100421,1120601,八戸,HACHINOHE,1004,141.431468,40.509161
100422,100422,七戸十和田,SHICHINOHE-TOWADA,1004,141.153948,40.719917
100423,1120265,新青森,SHIN-AOMORI,1004,140.693472,40.8275
100501,1130101,東京,TOKYO,1005,139.766084,35.681382
100502,1130220,上野,UENO,1005,139.777254,35.713768
100503,1131906,大宮,OMIYA,1005,139.624,35.906206
100504,1132316,熊谷,KUMAGAYA,1005,139.389942,36.139702
100505,100505,本庄早稲田,HONJOWASEDA,1005,139.179739,36.218575
100506,1131816,高崎,TAKASAKI,1005,139.013057,36.322356
100507,100507,上毛高原,JOMO-KOGEN,1005,138.977579,36.693128
100508,1134220,越後湯沢,ECHIGO-YUZAWA,1005,138.809891,36.93611
100509,1134227,浦佐,URASA,1005,138.922703,37.167591
100510,1134236,長岡,NAGAOKA,1005,138.853927,37.447787
100511,1141006,燕三条,TSUBAMESANJO,1005,138.93873,37.647752
100512,1140442,新潟,NIIGATA,1005,139.061883,37.912027
100601,1134220,越後湯沢,ECHIGO-YUZAWA,1006,138.809891,36.93611
100602,100602,ガーラ湯沢,GALA YUZAWA,1006,138.799528,36.950889
100701,1130101,東京,TOKYO,1007,139.766084,35.681382
100702,1130220,上野,UENO,1007,139.777254,35.713768
100703,1131906,大宮,OMIYA,1007,139.624,35.906206
100704,1131918,小山,OYAMA,1007,139.80685,36.3142
100705,1131923,宇都宮,UTSUNOMIYA,1007,139.898283,36.558701
100706,1131932,那須塩原,NASUSHIOBARA,1007,140.020514,36.931772
100707,1123106,新白河,SHIN-SHIRAKAWA,1007,140.188998,37.123281
100708,1123114,郡山,KORIYAMA,1007,140.388412,37.397983
100709,1123124,福島,FUKUSHIMA,1007,140.458724,37.754311
100710,1121609,米沢,YONEZAWA,1007,140.128087,37.909639
100711,1121611,高畠,TAKAHATA,1007,140.153149,37.992595
100712,1121612,赤湯,AKAYU,1007,140.149192,38.047214
100713,1121615,かみのやま温泉,KAMINOYAMAONSEN,1007,140.278431,38.152093
100714,1121618,山形,YAMAGATA,1007,140.327536,38.248645
100715,1121624,天童,TENDO,1007,140.369612,38.36002
100716,1121627,さくらんぼ東根,SAKURAMBOHIGASHINE,1007,140.381055,38.428363
100717,1121629,村山,MURAYAMA,1007,140.386355,38.477153
100718,1121631,大石田,OISHIDA,1007,140.375269,38.595724
100719,1120201,新庄,SHINJO,1007,140.305792,38.762249
100801,1130101,東京,TOKYO,1008,139.766084,35.681382
100802,1130220,上野,UENO,1008,139.777254,35.713768
100803,1131906,大宮,OMIYA,1008,139.624,35.906206
100804,1131918,小山,OYAMA,1008,139.80685,36.3142
100805,1131923,宇都宮,UTSUNOMIYA,1008,139.898283,36.558701
100806,1131932,那須塩原,NASUSHIOBARA,1008,140.020514,36.931772
100807,1123106,新白河,SHIN-SHIRAKAWA,1008,140.188998,37.123281
100808,1123114,郡山,KORIYAMA,1008,140.388412,37.397983
100809,1123124,福島,FUKUSHIMA,1008,140.458724,37.754311
100810,100410,白石蔵王,SHIROISHIZAO,1008,140.633035,37.995485
100811,1123143,仙台,SENDAI,1008,140.882244,38.260286
100812,1122104,古川,FURUKAWA,1008,140.967832,38.57092
100813,100413,くりこま高原,KURIKOMA-KOGEN,1008,141.071785,38.74893
100814,1123166,一ノ関,ICHINOSEKI,1008,141.13889,38.92608
100815,100415,水沢江刺,MIZUSAWAESASHI,1008,141.188803,39.145194
100816,1123174,北上,KITAKAMI,1008,141.122598,39.282229
100817,1120903,新花巻,SHIN-HANAMAKI,1008,141.173715,39.406453
100818,1123185,盛岡,MORIOKA,1008,141.136369,39.701683
100819,1121104,雫石,SHIZUKUISHI,1008,140.974848,39.689352
100820,1121107,田沢湖,TAZAWAKO,1008,140.722419,39.700272
100821,1121111,角館,KAKUNODATE,1008,140.570988,39.591716
100822,1120220,大曲,OMAGARI,1008,140.479732,39.465454
100823,1120228,秋田,AKITA,1008,140.129743,39.716845
100901,1130101,東京,TOKYO,1009,139.766084,35.681382
100902,1130220,上野,UENO,1009,139.777254,35.713768
100903,1131906,大宮,OMIYA,1009,139.624,35.906206
100904,1132316,熊谷,KUMAGAYA,1009,139.389942,36.139702
100905,100505,本庄早稲田,HONJOWASEDA,1009,139.179739,36.218575
100906,1131816,高崎,TAKASAKI,1009,139.013057,36.322356
100907,100907,安中榛名,ANNAKAHARUNA,1009,138.849589,36.362408
100908,9940301,軽井沢,KARUIZAWA,1009,138.635062,36.34255
100909,1140125,佐久平,SAKUDAIRA,1009,138.464339,36.277898
100910,9940311,上田,UEDA,1009,138.249736,36.396498
100911,1140305,長野,NAGANO,1009,138.188686,36.643
100912,1140710,飯山,IIYAMA,1009,138.358596,36.84562
100913,1140317,上越妙高,JOETSUMYOKO,1009,138.2484867,37.08135716
