line_cd,company_cd,line_name,line_name_rn,line_type,station_cd,station_g_cd,station_name,station_name_rn,lon,lat
1002,3,東海道新幹線,Tokaido Shinkansen,1,100201,1130101,東京,TOKYO,139.766084,35.681382
1002,3,東海道新幹線,Tokaido Shinkansen,1,100202,1130103,品川,SHINAGAWA,139.74044,35.630152
1002,3,東海道新幹線,Tokaido Shinkansen,1,100203,1130604,新横浜,SHIN-YOKOHAMA,139.617585,35.507456
1002,3,東海道新幹線,Tokaido Shinkansen,1,100204,1130116,小田原,ODAWARA,139.154904,35.25642
1002,3,東海道新幹線,Tokaido Shinkansen,1,100205,1130121,熱海,ATAMI,139.07776,35.103217
1002,3,東海道新幹線,Tokaido Shinkansen,1,100206,1150103,三島,MISHIMA,138.910627,35.127152
1002,3,東海道新幹線,Tokaido Shinkansen,1,100207,100207,新富士,SHIN-FUJI,138.663382,35.142015
1002,3,東海道新幹線,Tokaido Shinkansen,1,100208,1150118,静岡,SHIZUOKA,138.38884,34.97171
1002,3,東海道新幹線,Tokaido Shinkansen,1,100209,1150128,掛川,KAKEGAWA,138.014928,34.769758
1002,3,東海道新幹線,Tokaido Shinkansen,1,100210,1150201,浜松,HAMAMATSU,137.734442,34.703741
1002,3,東海道新幹線,Tokaido Shinkansen,1,100211,1141301,豊橋,TOYOHASHI,137.381651,34.762811
1002,3,東海道新幹線,Tokaido Shinkansen,1,100212,1150222,三河安城,MIKAWA-ANJO,137.060662,34.96897
1002,3,東海道新幹線,Tokaido Shinkansen,1,100213,1141101,名古屋,NAGOYA,136.881645,35.170686
1002,3,東海道新幹線,Tokaido Shinkansen,1,100214,3002102,岐阜羽島,GIFU-HASHIMA,136.685822,35.316001
1002,3,東海道新幹線,Tokaido Shinkansen,1,100215,1141501,米原,MAIBARA,136.290488,35.314188
1002,3,東海道新幹線,Tokaido Shinkansen,1,100216,1160120,京都,KYOTO,135.757755,34.985458
1002,3,東海道新幹線,Tokaido Shinkansen,1,100217,1160213,新大阪,SHIN-OSAKA,135.500109,34.73348
1003,4,山陽新幹線,Sanyo Shinkansen,1,100301,1160213,新大阪,SHIN-OSAKA,135.500109,34.73348
1003,4,山陽新幹線,Sanyo Shinkansen,1,100302,9963601,新神戸,SHIN-KOBE,135.195758,34.706417
1003,4,山陽新幹線,Sanyo Shinkansen,1,100303,1160811,西明石,NISHI-AKASHI,134.960542,34.666855
1003,4,山陽新幹線,Sanyo Shinkansen,1,100304,1160821,姫路,HIMEJI,134.690849,34.827642
1003,4,山陽新幹線,Sanyo Shinkansen,1,100305,1160905,相生,AIOI,134.473888,34.817955
1003,4,山陽新幹線,Sanyo Shinkansen,1,100306,1160917,岡山,OKAYAMA,133.918588,34.666369
1003,4,山陽新幹線,Sanyo Shinkansen,1,100307,1161007,新倉敷,SHIN-KURASHIKI,133.678671,34.56499
1003,4,山陽新幹線,Sanyo Shinkansen,1,100308,1161014,福山,FUKUYAMA,133.361432,34.489327
1003,4,山陽新幹線,Sanyo Shinkansen,1,100309,100309,新尾道,SHIN-ONOMICHI,133.190158,34.429859
1003,4,山陽新幹線,Sanyo Shinkansen,1,100310,1161020,三原,MIHARA,133.083572,34.399934
1003,4,山陽新幹線,Sanyo Shinkansen,1,100311,100311,東広島,HIGASHIHIROSHIMA,132.759762,34.389035
1003,4,山陽新幹線,Sanyo Shinkansen,1,100312,1161115,広島,HIROSHIMA,132.4758267,34.39823447
1003,4,山陽新幹線,Sanyo Shinkansen,1,100313,100313,新岩国,SHIN-IWAKUNI,132.149384,34.164672
1003,4,山陽新幹線,Sanyo Shinkansen,1,100314,1161216,徳山,TOKUYAMA,131.8029,34.051555
1003,4,山陽新幹線,Sanyo Shinkansen,1,100315,1161224,新山口,SHIN-YAMAGUCHI,131.397155,34.093061
1003,4,山陽新幹線,Sanyo Shinkansen,1,100316,1161230,厚狭,ASA,131.159965,34.053361
1003,4,山陽新幹線,Sanyo Shinkansen,1,100317,1161234,新下関,SHIN-SHIMONOSEKI,130.948243,34.005615
1003,4,山陽新幹線,Sanyo Shinkansen,1,100318,1190205,小倉,KOKURA,130.882466,33.887108
1003,4,山陽新幹線,Sanyo Shinkansen,1,100319,1190101,博多,HAKATA,130.420622,33.590002
1004,2,東北新幹線,Tohoku Shinkansen,1,100401,1130101,東京,TOKYO,139.766084,35.681382
1004,2,東北新幹線,Tohoku Shinkansen,1,100402,1130220,上野,UENO,139.777254,35.713768
1004,2,東北新幹線,Tohoku Shinkansen,1,100403,1131906,大宮,OMIYA,139.624,35.906206
1004,2,東北新幹線,Tohoku Shinkansen,1,100404,1131918,小山,OYAMA,139.80685,36.3142
1004,2,東北新幹線,Tohoku Shinkansen,1,100405,1131923,宇都宮,UTSUNOMIYA,139.898283,36.558701
1004,2,東北新幹線,Tohoku Shinkansen,1,100406,1131932,那須塩原,NASUSHIOBARA,140.020514,36.931772
1004,2,東北新幹線,Tohoku Shinkansen,1,100407,1123106,新白河,SHIN-SHIRAKAWA,140.188998,37.123281
1004,2,東北新幹線,Tohoku Shinkansen,1,100408,1123114,郡山,KORIYAMA,140.388412,37.397983
1004,2,東北新幹線,Tohoku Shinkansen,1,100409,1123124,福島,FUKUSHIMA,140.458724,37.754311
1004,2,東北新幹線,Tohoku Shinkansen,1,100410,100410,白石蔵王,SHIROISHIZAO,140.633035,37.995485
1004,2,東北新幹線,Tohoku Shinkansen,1,100411,1123143,仙台,SENDAI,140.882244,38.260286
1004,2,東北新幹線,Tohoku Shinkansen,1,100412,1122104,古川,FURUKAWA,140.967832,38.57092
1004,2,東北新幹線,Tohoku Shinkansen,1,100413,100413,くりこま高原,KURIKOMA-KOGEN,141.071785,38.74893
1004,2,東北新幹線,Tohoku Shinkansen,1,100414,1123166,一ノ関,ICHINOSEKI,141.13889,38.92608
1004,2,東北新幹線,Tohoku Shinkansen,1,100415,100415,水沢江刺,MIZUSAWAESASHI,141.188803,39.145194
1004,2,東北新幹線,Tohoku Shinkansen,1,100416,1123174,北上,KITAKAMI,141.122598,39.282229
1004,2,東北新幹線,Tohoku Shinkansen,1,100417,1120903,新花巻,SHIN-HANAMAKI,141.173715,39.406453
1004,2,東北新幹線,Tohoku Shinkansen,1,100418,1123185,盛岡,MORIOKA,141.136369,39.701683
1004,2,東北新幹線,Tohoku Shinkansen,1,100419,9920509,いわて沼宮内,IWATE-NUMAKUNAI,141.217655,39.960853
1004,2,東北新幹線,Tohoku Shinkansen,1,100420,9920515,二戸,NINOHE,141.285655,40.259881
1004,2,東北新幹線,Tohoku Shinkansen,1,100421,1120601,八戸,HACHINOHE,141.431468,40.509161
1004,2,東北新幹線,Tohoku Shinkansen,1,100422,100422,七戸十和田,SHICHINOHE-TOWADA,141.153948,40.719917
1004,2,東北新幹線,Tohoku Shinkansen,1,100423,1120265,新青森,SHIN-AOMORI,140.693472,40.8275
1005,2,上越新幹線,Joetsu Shinkansen,1,100501,1130101,東京,TOKYO,139.766084,35.681382
1005,2,上越新幹線,Joetsu Shinkansen,1,100502,1130220,上野,UENO,139.777254,35.713768
